tag,JD,launch_date,launch_year,type,variant,mission,site,agency_raw,agency,provider_group,state_code,category,agency_type,color_category,launch_code
2003-007,2452685.79,2003 Feb 15 0700,2003,Ariane 44L,44L-3,INTELSAT 907,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,OS
2003-008,2452709.54,2003 Mar 11 0059:00,2003,Delta 4M,-,DSCS III A-3/IABS,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-009,2452726.56,2003 Mar 28 0127,2003,H-IIA 2024,-,IGS Optical-1,TNSC,NASDA,Japan (JAXA / ISAS / NASDA),Japan,J,O,state,state_japan,OS
2003-010,2452730.42,2003 Mar 31 2209:01,2003,Delta 7925-9.5,-,Navstar GPS SVN 45,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-011,2452731.58,2003 Apr  2 0153:01,2003,Molniya 8K78M,2BL,Molniya-1T No. 101,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-012,2452738.07,2003 Apr  8 1343:00,2003,Titan 401B/Centaur,-,Milstar DFS-6,CC,3SLS/AFSMC,NASA / US Military,United States,US,O,state,state_us,OS
2003-013,2452739.45,2003 Apr  9 2252:19,2003,Ariane 5G,-,Insat 3A,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,OS
2003-014,2452741.53,2003 Apr 12 0047:01,2003,Atlas 3B,SEC,Asiasat 4,CC,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2003-015,2452753.68,2003 Apr 24 0423:17,2003,Proton-K/DM-2,-,Oko-1 No. 7126,GIK-5,KHRU,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-016,2452755.66,2003 Apr 26 0353:52,2003,Soyuz-FG,-,Soyuz 11F732 No. 212,GIK-5,RAKA,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-017,2452758.00,2003 Apr 28 1159:57,2003,Pegasus XL,-,GALEX,CC,OSC,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-018,2452767.98,2003 May  8 1128,2003,GSLV Mk I,a,GSAT-2,SHAR,ISRO,India (ISRO),India,IN,O,state,state_india,OS
2003-019,2452768.69,2003 May  9 0429:25,2003,M-V,1,MUSES C,KASC,ISAS,Japan (JAXA / ISAS / NASDA),Japan,J,O,state,state_japan,DS
2003-020,2452773.42,2003 May 13 2210:00,2003,Atlas V 401,-,Hellas Sat 2,CC,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2003-021,2452784.19,2003 May 24 1634:04,2003,Chang Zheng 3A,-,san ke beidou daohang s.,XSC,CALT,China (CASC / CALT / SAST),China,CN,O,state,state_china,OS
2003-022,2452793.24,2003 Jun  2 1745:26,2003,Soyuz-FG,Fregat,Mars Express,GIK-5,STSM,Intl Commercial (Starsem),International Commercial,F,O,private,private_intl_commercial,DS
2003-023,2452795.31,2003 Jun  4 1923:52,2003,Kosmos 11K65M,-,Parus?,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-024,2452797.43,2003 Jun  6 2215:15,2003,Proton-K/Briz-M,-,Americom 9,GIK-5,ILSK,Intl Commercial (ILS-K),International Commercial,RU,O,private,private_intl_commercial,OS
2003-025,2452798.94,2003 Jun  8 1034:19,2003,Soyuz-U-PVB,-,Progress M1 No. 259,GIK-5,RAKA,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-026,2452801.08,2003 Jun 10 1355:59,2003,Zenit-3SL,-,Thuraya 2,KLA,SEALP,Intl Commercial (SeaLaunch),International Commercial,US,O,private,private_intl_commercial,OS
2003-027,2452801.25,2003 Jun 10 1758:47,2003,Delta 7925-9.5,-,Mars Exploration Rover 2,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,DS
2003-028,2452802.44,2003 Jun 11 2238:15,2003,Ariane 5G,-,BSAT-2c,CSG,AE,Arianespace,Arianespace,F,O,private,private_arianespace,OS
2003-029,2452810.33,2003 Jun 19 2000:35,2003,Molniya 8K78M,2BL,Molniya-3 No. 65L,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-030,2452817.29,2003 Jun 26 1853,2003,Pegasus XL,-,Orbview-3,V,OSC,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-031,2452821.09,2003 Jun 30 1415:26,2003,Rokot,-,Mimosa,GIK-1,EUROK,Intl Commercial (Eurockot),International Commercial,RU,O,private,private_intl_commercial,OS
2003-032,2452828.64,2003 Jul  8 0318:15,2003,Delta 7925H,-,Mars Exploration Rover 1,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,DS
2003-033,2452838.49,2003 Jul 17 2345:01,2003,Atlas V 521,-,Rainbow 1,CC,ILSL,Intl Commercial (ILS-LMA),International Commercial,US,O,private,private_intl_commercial,OS
2003-034,2452859.65,2003 Aug  8 0330:55,2003,Zenit-3SL,-,Echostar IX,KLA,SEALP,Intl Commercial (SeaLaunch),International Commercial,US,O,private,private_intl_commercial,OS
2003-035,2452864.10,2003 Aug 12 1420:00,2003,Soyuz-U-PVB,-,Don,GIK-5,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-036,2452864.59,2003 Aug 13 0209:33,2003,Pegasus XL,-,SCISAT-1,V,OSC,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,OS
2003-037,2452870.95,2003 Aug 19 1050:45,2003,Kosmos 11K65M,-,Strela-3,GIK-1,KVR,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
2003-E01,2452874.19,2003 Aug 22 1630?,2003,VLS-1,-,-,ALCA,AEB,State (AEB),Other States,BR,F,state,state_other,OE
2003-038,2452876.73,2003 Aug 25 0535:39,2003,Delta 7920H,-,SIRTF,CC,BLS,US Heritage (Boeing / Lockheed / Northrop / Orbital),US Heritage Commercial,US,O,private,private_us_heritage,DS
2003-039,2452880.57,2003 Aug 29 0147:59,2003,Soyuz-U-PVB,-,Progress M No. 248,GIK-5,RAKA,Roscosmos / Russian Military,Russia,RU,O,state,state_russia,OS
